event,timestamp_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
imu_data,10989,-0.14,-0.71,9.49,0.19,0.12,0.12
imu_data,11039,-0.11,-0.71,9.51,0.19,-0.19,-0.12
imu_data,11089,-0.16,-0.74,9.27,-0.25,0.00,-0.06
imu_data,11139,-0.15,-0.71,9.62,0.06,0.12,-0.06
imu_data,11190,-0.13,-0.69,9.50,0.19,0.06,-0.12
imu_data,11241,-0.04,-0.72,9.61,-0.06,0.12,-0.06
imu_data,11291,-0.19,-0.71,9.52,-0.06,-0.06,0.00
imu_data,11339,-0.08,-0.68,9.53,-0.19,-0.06,0.12
imu_data,11389,-0.10,-0.75,9.53,0.00,0.06,-0.06
imu_data,11439,-0.13,-0.72,9.53,-0.06,0.06,0.19
imu_data,11489,-0.12,-0.73,9.49,0.06,0.19,0.06
imu_data,11539,-0.08,-0.74,9.50,-0.06,0.00,-0.06
imu_data,11589,-0.15,-0.70,9.51,0.19,0.00,0.06
imu_data,11639,-0.13,-0.67,9.51,-0.06,-0.19,0.00
imu_data,11689,-0.09,-0.74,9.50,0.06,0.00,-0.12
imu_data,11740,-0.14,-0.72,9.58,0.06,0.19,0.00
imu_data,11791,-0.16,-0.69,9.46,-0.25,-0.06,-0.06
imu_data,11842,-0.07,-0.73,9.51,-0.06,0.19,-0.12
imu_data,11892,-0.16,-0.71,9.47,-0.12,0.00,0.19
imu_data,11943,-0.11,-0.69,9.49,-0.06,-0.31,0.00
imu_data,11993,-0.14,-0.71,9.50,0.00,0.00,0.00
imu_data,12043,-0.11,-0.75,9.50,-0.12,0.12,-0.12
imu_data,12089,-0.13,-0.74,9.52,-0.06,0.25,0.06
imu_data,12139,-0.12,-0.72,9.49,-0.12,0.06,0.12
imu_data,12189,-0.14,-0.72,9.50,0.12,-0.06,0.06
imu_data,12239,-0.11,-0.69,9.51,0.12,0.12,-0.06
imu_data,12290,-0.14,-0.72,9.51,-0.12,-0.12,-0.06
imu_data,12341,-1.33,0.90,9.76,12.81,-5.06,-20.69
imu_data,12391,0.38,-5.49,9.23,-4.69,-2.44,-166.50
imu_data,12442,-0.42,-0.42,9.50,-6.12,0.25,-285.62
imu_data,12493,-0.15,0.75,9.54,-1.19,1.56,-326.50
imu_data,12543,0.33,-3.20,9.41,3.06,-1.50,-392.00
imu_data,12593,-0.85,-3.06,9.49,2.75,-0.06,-157.56
imu_data,12639,-1.15,0.55,9.49,2.69,1.00,22.38
imu_data,12689,-0.51,1.29,9.50,-1.19,0.06,90.06
imu_data,12739,-1.89,-0.29,9.45,6.75,3.44,254.38
imu_data,12789,4.40,-4.97,9.84,-7.94,6.56,501.19
imu_data,12840,-0.33,4.63,9.77,-17.12,3.56,227.69
imu_data,12891,-0.74,2.82,9.34,-21.69,-0.81,-40.12
imu_data,12941,-0.04,0.82,9.38,4.38,-0.88,-334.44
imu_data,12992,2.72,-4.67,9.49,0.94,-0.94,-418.69
imu_data,13043,-0.67,-5.22,9.87,8.44,-1.50,-222.31
imu_data,13093,-0.56,-2.79,9.62,3.25,1.88,123.19
imu_data,13143,4.33,-3.21,9.86,-1.81,6.81,456.12
imu_data,13189,2.60,5.24,9.48,-15.94,5.94,367.44
imu_data,13239,0.91,5.34,9.55,-9.81,1.00,-43.38
imu_data,13289,2.26,2.75,9.31,2.88,-2.19,-299.69
imu_data,13339,3.21,-5.81,9.53,1.44,-1.00,-500.06
